CandidateName,OType,Magnitude,RA,Dec,MajorAxis
NGC 7817,HII Galaxy,11.94,0.995413,20.752339,2.37
NGC  772,Galaxy in Pair of Galaxies,10.31,29.83148214541,19.00763213256,6.03
Peg dSph,Galaxy towards a Group of Galaxies,13.2,357.9433,24.5864,3.98
NGC  918,Active Galaxy Nucleus,15.01,36.46162471388,18.49621079472,3.23
IC 1801,Galaxy in Pair of Galaxies,13.98,37.053137,19.583322,1.2
NGC 7741,Galaxy in Pair of Galaxies,11.31,355.976562,26.075575,1.397
NGC 7720,Seyfert 1 Galaxy,13.3,354.6224301675,27.03146055789,1.027
NGC 7768,Brightest Galaxy in a Cluster (BCG),14.23,357.74395217171,27.14734628713,1.103
NGC  16,Galaxy,12.06,2.26781659792,27.72940935524,1.29
PN Jn  1,Planetary Nebula,15.62,353.97217284945,30.46842687367,5.533
NGC  252,Galaxy towards a Group of Galaxies,12.49,12.00627912408,27.6239148276,1.183
NGC  672,Galaxy in Pair of Galaxies,11.09,26.97698532147,27.43278353048,6.17
IC 1727,Galaxy in Pair of Galaxies,11.98,26.874542,27.33335,6.31
NGC  670,Galaxy towards a Group of Galaxies,12.72,26.85356418242,27.88582155076,1.24
NGC 7052,Radio Galaxy,13.09,319.63768415152,26.44699294061,1.76
NGC 7457,Galaxy,11.87,345.24969303685,30.14493455522,2.117
NGC  266,LINER-type Active Galaxy Nucleus,11.63,12.44922907833,32.27771838748,1.553
NGC  383,Radio Galaxy,12.14,16.85401992285,32.4125368295,1.367
NGC  315,LINER-type Active Galaxy Nucleus,11.16,14.45368060042,30.35244775958,1.88
NGC  784,Low Surface Brightness Galaxy,12.07,30.32055,28.837258,5.13
NGC  855,Galaxy towards a Group of Galaxies,12.75,33.51505,27.877172,3.24
NGC 1156,Radio Galaxy,11.74,44.92855368636,25.2412088937,1.617
NGC 7217,LINER-type Active Galaxy Nucleus,11.92,331.96832694816,31.35934230377,2.477
NGC 7335,Galaxy towards a Group of Galaxies,13.35,339.33088034966,34.44785018059,1.443
NGC 7320,Galaxy towards a Group of Galaxies,12.63,339.01419153345,33.94822873895,2.34
NGC 7319,Seyfert 2 Galaxy,13.53,339.015009,33.975882,1.62
UGC 12157,Galaxy towards a Group of Galaxies,12.58,340.4736587871,34.91968713668,1.22
NGC  410,Galaxy towards a Group of Galaxies,11.48,17.74542353863,33.15195941057,1.567
Mrk 993,Seyfert 2 Galaxy,13.96,21.38106313503,32.13624273792,1.093
NGC  499,LINER-type Active Galaxy Nucleus,12.3,20.79789781736,33.46018228675,1.35
NGC  777,Seyfert 2 Galaxy,11.45,30.06211071156,31.42940297823,1.39
NGC  972,Radio Galaxy,13.63,38.5556559957,29.31127914371,2.227
PN A66  78,Planetary Nebula,13.25,323.8724234412999,31.69595811003,1.783
LEDA 2807157,Galaxy towards a Group of Galaxies,15.2,356.396569,38.71808,1.1
Andromeda III,Galaxy,14.4,8.8446,36.5047,3.89
Andromeda I,Galaxy,12.7,11.4158,38.0411,3.98
NGC  404,LINER-type Active Galaxy Nucleus,11.73,17.3629,35.7181,6.0
NGC  890,Galaxy towards a Group of Galaxies,11.62,35.50417545711,33.26604745081,1.853
NGC  931,Seyfert 1 Galaxy,14.74,37.06028712678,31.31151926759,1.72
UGC 11781,Galaxy towards a Group of Galaxies,13.05,324.16392168715,35.69475340952,1.03
UGC 12173,Galaxy towards a Group of Galaxies,13.03,340.96661624305,38.3768075226,1.087
4C 35.03,Radio Galaxy,13.0,32.41066749631,35.79743859595,1.21
NGC  969,Galaxy towards a Group of Galaxies,12.41,38.53299542788,32.9472844444,1.217
NGC  959,Galaxy towards a Group of Galaxies,12.38,38.09968394059,35.49457091101,1.257
NGC 1060,Galaxy towards a Group of Galaxies,11.81,40.812688,32.425011,1.52
NGC 7248,Galaxy,12.39,334.21933883809,40.50456376323,1.7
NGC  797,Galaxy,13.06,30.86708,38.11697,1.412
