CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,StartObservability,EndObservability,RejectedReason
NGC 6012,Astrophotography,12.42,238.55793672393,14.60118844675,1.417,Galaxy,2023-07-15 00:44:00,2023-07-15 08:14:00,
NGC 4627,Astrophotography,12.43,190.4998664807554,32.5735585315852,2.6,Galaxy towards a Group of Galaxies,2023-07-14 21:32:00,2023-07-15 05:02:00,
NGC 5656,Astrophotography,12.43,217.60629182637,35.32103699005,1.077,Emission-line galaxy,2023-07-14 23:20:00,2023-07-15 06:50:00,
NGC  693,Astrophotography,12.44,27.62853112,6.14521,2.34,Galaxy towards a Cluster of Galaxies,2023-07-15 10:37:04,2023-07-15 18:07:04,
NGC 6239,Astrophotography,12.45,252.52095,42.739844,1.14,Galaxy towards a Cluster of Galaxies,2023-07-15 01:40:00,2023-07-15 09:10:00,
NGC 5953,Astrophotography,12.45,233.635,15.1938,1.577,Galaxy in Pair of Galaxies,2023-07-15 00:24:00,2023-07-15 07:54:00,
NGC 5507,Astrophotography,12.46,213.3327501338,-3.14888891185,1.153,Galaxy in Pair of Galaxies,2023-07-15 00:13:00,2023-07-15 06:33:00,
NGC 5859,Astrophotography,12.47,226.894792,19.582281,1.533,LINER-type Active Galaxy Nucleus,2023-07-14 23:57:00,2023-07-15 07:27:00,
NGC 5395,Astrophotography,12.48,209.65816915942,37.42448934104,2.183,Seyfert 2 Galaxy,2023-07-14 22:48:00,2023-07-15 06:18:00,
NGC  252,Astrophotography,12.49,12.00627912408,27.6239148276,1.183,Galaxy towards a Group of Galaxies,2023-07-15 09:35:04,2023-07-15 17:05:04,
NGC 4647,Astrophotography,12.5,190.885592,11.582469,2.82,HII Galaxy,2023-07-14 21:33:00,2023-07-15 05:03:00,
NGC  706,Astrophotography,12.5,27.96048974444,6.29685340485,1.11,Galaxy towards a Group of Galaxies,2023-07-15 10:39:04,2023-07-15 18:09:04,
EM* AS 310,Astrophotography,12.52,278.33830848512,-4.96832682161,1.5,Herbig Ae/Be Star,2023-07-15 04:33:00,2023-07-15 10:53:00,
PegDIG,Astrophotography,12.52,352.1467,14.7431,5.0,Galaxy,2023-07-15 08:18:00,2023-07-15 15:48:00,
UGC 11659,Astrophotography,12.53,315.01991998086,9.58306247408,1.6,Galaxy towards a Group of Galaxies,2023-07-15 05:50:00,2023-07-15 13:20:00,
NGC 5623,Astrophotography,12.53,216.78610410741,33.25249820563,1.66,Emission-line galaxy,2023-07-14 23:17:00,2023-07-15 06:47:00,
NGC 6500,Astrophotography,12.54,268.99909245354,18.33824093306,1.03,LINER-type Active Galaxy Nucleus,2023-07-15 02:46:00,2023-07-15 10:16:00,
NGC 5631,Astrophotography,12.55,216.6387138868,56.58261796718,1.27,Seyfert 2 Galaxy,2023-07-15 00:46:00,2023-07-15 06:46:00,
UGC 12157,Astrophotography,12.58,340.4736587871,34.91968713668,1.22,Galaxy towards a Group of Galaxies,2023-07-15 07:32:00,2023-07-15 15:02:00,
NGC 5532,Astrophotography,12.59,214.2206383,10.8073939,1.237,LINER-type Active Galaxy Nucleus,2023-07-14 23:07:00,2023-07-15 06:37:00,
NGC  59,Astrophotography,12.59,3.854692,-21.444356,1.02,Galaxy towards a Group of Galaxies,2023-07-15 10:12:04,2023-07-15 16:32:04,
IC 5039,Astrophotography,12.6,310.80964115919,-29.85333807201,1.347,Galaxy in Pair of Galaxies,2023-07-15 06:43:00,2023-07-15 12:29:00,
NGC 5861,Astrophotography,12.62,227.31704696,-11.32166111,2.113,Seyfert 2 Galaxy,2023-07-15 01:09:00,2023-07-15 07:29:00,
NGC 7320,Astrophotography,12.63,339.01419153345,33.94822873895,2.34,Galaxy towards a Group of Galaxies,2023-07-15 07:26:00,2023-07-15 14:56:00,
IC 1029,Astrophotography,12.65,218.11359849292,49.90462899187,1.94,Galaxy towards a Group of Galaxies,2023-07-15 00:22:00,2023-07-15 06:52:00,
NGC 5347,Astrophotography,12.7,208.32416038922,33.49083656061,1.62,Seyfert 2 Galaxy,2023-07-14 22:43:00,2023-07-15 06:13:00,
Andromeda I,Astrophotography,12.7,11.4158,38.0411,3.98,Galaxy,2023-07-15 09:32:04,2023-07-15 17:02:04,
NGC  613,Astrophotography,12.71,23.575979,-29.418489,5.5,Active Galaxy Nucleus,2023-07-15 11:31:04,2023-07-15 17:17:04,
NGC 4639,Astrophotography,12.72,190.71824375014,13.257418376,1.313,Galaxy in Pair of Galaxies,2023-07-14 21:33:00,2023-07-15 05:03:00,
NGC  670,Astrophotography,12.72,26.85356418242,27.88582155076,1.24,Galaxy towards a Group of Galaxies,2023-07-15 10:34:04,2023-07-15 18:04:04,
NGC  855,Astrophotography,12.75,33.51505,27.877172,3.24,Galaxy towards a Group of Galaxies,2023-07-15 11:01:04,2023-07-15 18:31:04,
NGC 4782,Astrophotography,12.75,193.648742,-12.568589,1.957,Radio Galaxy,2023-07-14 22:54:00,2023-07-15 05:14:00,
NGC 1167,Astrophotography,12.77,45.42638448924,35.20563915247,1.547,LINER-type Active Galaxy Nucleus,2023-07-15 11:48:04,2023-07-15 19:18:04,
NGC 7377,Astrophotography,12.78,341.94780988448,-22.31215848931,1.737,LINER-type Active Galaxy Nucleus,2023-07-15 08:48:00,2023-07-15 15:02:00,
NGC 4783,Astrophotography,12.8,193.6515,-12.55839,1.189,Galaxy in Pair of Galaxies,2023-07-14 22:54:00,2023-07-15 05:14:00,
NGC 7563,Astrophotography,12.81,348.98301758258,13.19612792694,1.173,LINER-type Active Galaxy Nucleus,2023-07-15 08:06:00,2023-07-15 15:36:00,
NGC 5258,Astrophotography,12.83,204.99032012952,0.83083601891,1.003,Galaxy in Pair of Galaxies,2023-07-14 22:30:00,2023-07-15 06:00:00,
NGC 5077,Astrophotography,12.85,199.88195678838,-12.65696569933,1.513,Galaxy in Pair of Galaxies,2023-07-14 23:19:00,2023-07-15 05:39:00,
NGC  906,Astrophotography,12.88,36.31782596964,42.08990603326,1.037,Radio Galaxy,2023-07-15 11:12:04,2023-07-15 18:42:04,
NGC 6921,Astrophotography,12.897,307.12027417801,25.72335953469,1.09,Seyfert 2 Galaxy,2023-07-15 05:18:00,2023-07-15 12:48:00,
4C 35.03,Astrophotography,13.0,32.41066749631,35.79743859595,1.21,Radio Galaxy,2023-07-15 10:56:04,2023-07-15 18:26:04,
NGC 4794,Astrophotography,13.0,193.793792,-12.608436,1.24,Galaxy towards a Group of Galaxies,2023-07-14 22:55:00,2023-07-15 05:15:00,
4C 11.71,Astrophotography,13.01,342.47744165863,11.60856821556,1.3,Quasar,2023-07-15 07:40:00,2023-07-15 15:10:00,
UGC 8320,Astrophotography,13.02,198.616656,45.919762,1.815,Galaxy,2023-07-14 22:04:00,2023-07-15 05:34:00,
UGC 12173,Astrophotography,13.03,340.96661624305,38.3768075226,1.087,Galaxy towards a Group of Galaxies,2023-07-15 07:34:00,2023-07-15 15:04:00,
NGC 6702,Astrophotography,13.05,281.73993133714,45.70564034505,1.133,Galaxy,2023-07-15 03:37:00,2023-07-15 11:07:00,
UGC 11781,Astrophotography,13.05,324.16392168715,35.69475340952,1.03,Galaxy towards a Group of Galaxies,2023-07-15 06:26:00,2023-07-15 13:56:00,
