CandidateID,ObservationID,RMSE_RA,RMSE_Dec,RA,Dec,ApproachColor,AstrometryStatus,ExposureTime,EncoderRA,EncoderDec,SkyBackground,Temperature,Dataset,CaptureStartEpoch,Focus,RAOffset,DecOffset,SystemName,CameraName,ProcessingCode,Submitted
1873651194694677363,62,1.3,0.76,256.656,22.7401,GREEN,0,2.0,256.7091,22.72515,-1.0,19229.0,C9CZK12_1_20230623_230852_20230623_230915,1687586955,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
7701143179676495882,63,0.99,0.8,262.887,0.9653,GREEN,0,3.0,262.88107,0.96396,-1.0,19229.0,P21GxRx_2_20230623_233252_20230623_233335,1687588415,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-9162494265766252804,64,0.52,0.47,256.9635,-3.698,ORANGE,0,1.0,257.07697,-3.64772,-1.0,19229.0,A10VKeW_2_20230624_001644_20230624_001706,1687591026,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3507296335524200818,65,18.45,30.64,315.99,-8.8555,GREEN,0,2.0,316.07866,-8.78653,-1.0,19229.0,P21GyQj_1_20230624_013750_20230624_013823,1687595903,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-2705407377616168705,66,2.31,0.84,317.4075,8.7649,GREEN,0,1.0,318.21094,9.1059,-1.0,19229.0,C9D0L02_2_20230624_020249_20230624_020307,1687597388,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
58786733003587475,67,9.65,1.6,305.247,-6.0821,GREEN,0,3.0,305.08859,-6.06941,-1.0,19229.0,P21GyDW_2_20230624_022151_20230624_022209,1687598530,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3507296335524200818,68,18.45,30.64,315.99,-8.8555,GREEN,0,2.0,316.07045,-8.80324,-1.0,19229.0,P21GyQj_2_20230624_025550_20230624_025607,1687600568,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-8207918159738981738,69,13.75,8.06,333.966,-12.1744,GREEN,1,2.0,334.06466,-12.08417,19.95,38.465,P11GBMr_2_20230624_041836_20230624_041904,1687605544,50058.7,0.02417,0.06012,TMO,PMUSBCam00,0,0
-9162494265766252804,70,0.52,0.47,256.9635,-3.698,ORANGE,0,1.0,259.20064,0.53117,-1.0,19229.0,A10VKeW_1_20230624_221256_20230624_221317,1687669998,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
7701143179676495882,71,0.99,0.8,262.887,0.9653,GREEN,0,3.0,262.61327,1.01563,-1.0,19229.0,P21GxRx_1_20230624_234341_20230624_234406,1687675446,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-1508352795820126010,72,0.2,0.03,231.99,-2.4993,GREEN,0,1.0,231.65771,-2.39387,-1.0,19229.0,C9DCAU2_3_20230625_223436_20230625_223519,1687757719,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
1850213576761346356,73,0.84,0.7,267.657,2.6052,GREEN,1,3.0,267.63696,2.60893,20.26,36.266,C9CYHH2_2_20230625_233437_20230625_233500,1687761300,49939.6,0.03602,-0.03045,TMO,PMUSBCam00,0,0
4167253793382699174,74,0.66,0.72,260.8335,-4.4023,GREEN,0,3.0,261.1273,-4.62839,-1.0,19229.0,C9DM1Z2_2_20230626_234737_20230626_234813,1687848494,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
6281027841436253595,75,1.49,2.21,343.149,29.2433,GREEN,1,1.0,342.86244,28.77144,20.53,42.375,P21GELa_2_20230627_034436_20230627_034503,1687862703,49777.1,0.0425,-0.00032,TMO,PMUSBCam00,0,0
4167253793382699174,76,0.66,0.72,260.8335,-4.4023,GREEN,0,3.0,260.86975,-4.40542,-1.0,19229.0,C9DM1Z2_1_20230627_214959_20230627_215027,1687927827,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-8756234267939722851,77,46.84,34.67,327.729,8.0797,GREEN,0,3.0,328.64727,7.19655,-1.0,19229.0,P21GGRT_1_20230628_012149_20230628_012212,1687940532,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
6281027841436253595,78,1.49,2.21,343.149,29.2433,GREEN,0,1.0,343.33453,29.363,-1.0,19229.0,P21GELa_1_20230628_015554_20230628_015617,1687942578,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-8756234267939722851,79,46.84,34.67,327.729,8.0797,GREEN,0,3.0,328.60172,7.22496,-1.0,19229.0,P21GGRT_2_20230628_030753_20230628_030826,1687946906,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
554364634443156092,80,0.52,0.29,255.24,47.2178,GREEN,0,1.0,256.07879,47.00564,-1.0,19229.0,C3RA2R1_2_20230629_015648_20230629_015732,1688029052,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-142808383545676011,81,0.78,0.76,333.4425,-18.8313,GREEN,0,1.0,331.63796,-20.3911,-1.0,19229.0,P11GIGR_1_20230629_031644_20230629_031728,1688033848,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
1802187316952133700,82,0.95,0.56,326.625,-18.7896,ORANGE,0,2.0,326.18284,-18.93942,-1.0,19229.0,P11GIGS_2_20230629_033644_20230629_033701,1688035021,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-142808383545676011,83,0.78,0.76,333.4425,-18.8313,GREEN,0,1.0,331.70758,-20.25897,-1.0,19229.0,P11GIGR_2_20230629_041259_20230629_041316,1688037197,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-4684566162442989164,84,46.9,47.72,337.671,10.4387,GREEN,0,3.0,337.90895,9.57398,-1.0,19229.0,P21GJLK_1_20230630_020956_20230630_021014,1688116215,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-142808383545676011,85,0.78,0.76,333.4425,-18.8313,GREEN,0,1.0,332.93887,-19.26014,-1.0,19229.0,P11GIGR_1_20230630_024455_20230630_024514,1688118314,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-2252561360185016390,86,3.5,2.01,319.6845,-4.9102,GREEN,0,1.0,320.68709,-4.29073,-1.0,19229.0,P21GKdD_2_20230630_030451_20230630_030500,1688119500,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-4684566162442989164,87,46.9,47.72,337.671,10.4387,GREEN,0,3.0,337.885,9.60211,-1.0,19229.0,P21GJLK_2_20230630_031956_20230630_032028,1688120428,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-142808383545676011,88,0.78,0.76,333.4425,-18.8313,GREEN,1,1.0,332.97871,-19.19161,20.57,44.819,P11GIGR_2_20230630_035455_20230630_035514,1688122514,50874.8,0.02688,0.08067,TMO,PMUSBCam00,0,0
-4883540637032323948,89,0.54,0.61,245.3715,16.1654,GREEN,0,1.0,245.49308,16.01999,-1.0,19229.0,C9DUKP2_1_20230706_215346_20230706_215429,1688705669,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
6761236102758790467,90,0.6,0.87,231.2745,23.5339,GREEN,0,2.0,231.49083,20.76175,-1.0,19229.0,C9DUJ32_1_20230706_220752_20230706_220819,1688706499,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3862126717677096564,91,0.34,0.29,250.329,3.8635,GREEN,0,3.0,250.70725,3.38015,-1.0,19229.0,P21GN7t_2_20230706_223658_20230706_223718,1688708238,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-4883540637032323948,92,0.54,0.61,245.3715,16.1654,GREEN,0,1.0,245.64994,15.85033,-1.0,19229.0,C9DUKP2_2_20230706_231045_20230706_231104,1688710265,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
6761236102758790467,93,0.6,0.87,231.2745,23.5339,GREEN,0,2.0,231.46073,20.87545,-1.0,19229.0,C9DUJ32_2_20230706_232954_20230706_233015,1688711416,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-4722925138556258240,94,67.88,72.31,264.5295,6.0497,GREEN,0,3.0,269.59025,8.19819,-1.0,19229.0,P21GNQK_1_20230707_212939_20230707_213009,1688790609,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3862126717677096564,95,0.34,0.29,250.329,3.8635,GREEN,0,2.0,250.30177,3.88898,-1.0,19229.0,P21GN7t_1_20230707_220458_20230707_220543,1688792744,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
6761236102758790467,96,0.6,0.87,231.2745,23.5339,GREEN,0,2.0,231.26234,23.75194,-1.0,19229.0,C9DUJ32_1_20230707_224950_20230707_225011,1688795411,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3862126717677096564,97,0.34,0.29,250.329,3.8635,GREEN,0,2.0,250.30843,3.73414,-1.0,19229.0,P21GN7t_2_20230707_231458_20230707_231523,1688796923,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-4722925138556258240,98,67.88,72.31,264.5295,6.0497,GREEN,0,3.0,269.51523,8.13346,-1.0,19229.0,P21GNQK_2_20230707_234458_20230707_234522,1688798722,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-4684566162442989164,99,46.9,47.72,337.671,10.4387,GREEN,0,3.0,337.54642,11.1383,-1.0,19229.0,P21GJLK_1_20230708_010448_20230708_010519,1688803519,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-8756234267939722851,100,46.84,34.67,327.729,8.0797,GREEN,0,3.0,327.74495,8.16083,-1.0,19229.0,P21GGRT_2_20230708_022947_20230708_023005,1688808605,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-6988288239803556338,101,70.15,56.04,329.403,22.8683,GREEN,0,3.0,329.65683,22.56828,-1.0,19229.0,P21GIIj_2_20230708_030947_20230708_031005,1688811005,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-4684566162442989164,102,46.9,47.72,337.671,10.4387,GREEN,1,3.0,337.48311,11.12999,19.45,97.361,P21GJLK_2_20230708_034447_20230708_034505,1688813106,50555.7,0.02474,0.00781,TMO,PMUSBCam00,0,0
-4722925138556258240,103,67.88,72.31,264.5295,6.0497,GREEN,0,3.0,269.02724,7.97678,-1.0,19229.0,P21GNQK_3_20230708_235438_20230708_235505,1688885705,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-1403580517786873930,104,0.77,0.15,308.6985,-3.9516,GREEN,0,1.0,309.26766,-3.96953,-1.0,19229.0,C9E3TW2_1_20230709_010245_20230709_010302,1688889783,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
4528555309728006989,105,396.4,268.58,311.0745,-17.4602,ORANGE,0,1.0,311.20198,-18.61555,-1.0,19229.0,C9E2GF2_1_20230709_011647_20230709_011712,1688890632,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3219710885858974991,106,249.86,124.69,306.552,-14.443,ORANGE,0,2.0,306.88421,-14.92643,-1.0,19229.0,C1083W3_2_20230709_013642_20230709_013701,1688891821,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-1403580517786873930,107,0.77,0.15,308.6985,-3.9516,GREEN,0,1.0,309.35558,-3.96485,-1.0,19229.0,C9E3TW2_2_20230709_020245_20230709_020302,1688893382,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
4528555309728006989,108,396.4,268.58,311.0745,-17.4602,ORANGE,0,1.0,311.15514,-18.87295,-1.0,19229.0,C9E2GF2_2_20230709_021647_20230709_021705,1688894226,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-9205125897851597540,109,190548.9,8639.13,276.339,-2.8273,BLACK,0,1.0,276.12041,-1.99247,-1.0,19229.0,7N28001_1_20230709_231647_20230709_231710,1688969830,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
2785425037107275217,110,1.85,10.72,291.3225,-20.5058,GREEN,0,2.0,291.45135,-20.8875,-1.0,19229.0,P21GQCk_1_20230709_232455_20230709_232533,1688970334,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-9205125897851597540,111,190548.9,8639.13,276.339,-2.8273,BLACK,0,1.0,276.11215,-1.9762,-1.0,19229.0,7N28001_2_20230709_235655_20230709_235713,1688972233,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
2785425037107275217,112,1.85,10.72,291.3225,-20.5058,GREEN,0,2.0,291.42177,-20.8451,-1.0,19229.0,P21GQCk_2_20230710_004348_20230710_004407,1688975047,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-8629842434111371518,113,0.76,0.71,307.182,9.6088,GREEN,0,2.0,306.99988,8.32783,-1.0,19229.0,P21GQAw_1_20230710_011255_20230710_011339,1688976820,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
308918613979951600,114,37752.55,8717.53,310.35,-15.0189,RED,0,2.0,310.59701,-16.70235,-1.0,19229.0,HirtNJ2_1_20230710_020548_20230710_020608,1688979969,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-8629842434111371518,115,0.76,0.71,307.182,9.6088,GREEN,0,2.0,307.01204,8.44444,-1.0,19229.0,P21GQAw_2_20230710_022953_20230710_023037,1688981438,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
308918613979951600,116,37752.55,8717.53,310.35,-15.0189,RED,0,2.0,310.58461,-16.72206,-1.0,19229.0,HirtNJ2_2_20230710_025853_20230710_025915,1688983156,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
4528555309728006989,117,396.4,268.58,311.0745,-17.4602,ORANGE,0,1.0,310.53884,-25.18119,-1.0,19229.0,C9E2GF2_1_20230710_032243_20230710_032317,1688984598,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
4528555309728006989,118,396.4,268.58,311.0745,-17.4602,ORANGE,0,1.0,310.52225,-25.29167,-1.0,19229.0,C9E2GF2_2_20230710_035259_20230710_035317,1688986397,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-9205125897851597540,119,190548.9,8639.13,276.339,-2.8273,BLACK,0,1.0,276.13055,-2.15662,-1.0,19229.0,7N28001_1_20230710_220657_20230710_220724,1689052045,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
3045481517815194829,120,690.21,1200.15,269.85,31.2062,GREEN,0,1.0,270.05905,30.82627,-1.0,19229.0,C9EGU12_2_20230710_222258_20230710_222329,1689053009,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-9205125897851597540,121,190548.9,8639.13,276.339,-2.8273,BLACK,0,1.0,276.12191,-2.15664,-1.0,19229.0,7N28001_2_20230710_223658_20230710_223719,1689053839,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-5949888459006303465,122,0.6,1.17,302.103,-17.5845,GREEN,0,3.0,302.07695,-17.02178,-1.0,19229.0,C0HZG35_1_20230711_015450_20230711_015610,1689065771,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
