CandidateName,CandidateType,Author,DateAdded,DateLastEdited,Priority,Updated,StartObservability,EndObservability,TransitTime,RejectedReason,RemovedReason,RemovedDt,RA,Dec,dRA,dDec,Magnitude,RMSE_RA,RMSE_Dec,ApproachColor,ExposureTime,NumExposures,Scheduled,Observed,Processed,Submitted,ID,Filter,Guide
P11HVxe,MPC NEO,MPCLogger,2023-08-29 18:23:32,2023-09-25 23:00:14,2,2023-09-23 18:00:00,2023-09-24 02:40:00,2023-09-24 08:20:00,2023-09-24 04:50:00,vMag,MPCLogger: Target removed from MPC list,2023-09-25 23:00:14,21.1793,-29.7644,-0.48,-0.78,23.0,1663.68,1871.47,GREEN,-1.0,-1.0,0,0,0,0,-6302756828069453232,CLEAR,1
C8J663Z,MPC NEO,MPCLogger,2023-11-08 02:46:48,2023-12-17 21:40:45,2,2023-11-07 05:16:48,2023-11-08 03:00:00,2023-11-08 09:50:00,2023-11-07 05:40:00,vMag,MPCLogger: Target removed from MPC list,2023-12-17 21:40:45,0.9738,6.7615,3.6,-0.66,22.3,14786.91,2820.05,RED,-1.0,-1.0,0,0,0,0,-6302688790654911880,CLEAR,1
A10UeAm,MPC NEO,MPCLogger,2023-07-12 21:31:47,2023-07-20 23:29:17,2,2023-07-14 01:40:48,,,2023-07-14 05:30:00,Observability,MPCLogger: Target removed from MPC list,2023-07-20 23:29:17,17.14,-41.2398,-0.72,0,18.0,0.34,0.15,GREEN,300.0,1.0,0,0,0,0,-6295458103026809838,CLEAR,1
A10XDtL,MPC NEO,MPCLogger,2023-10-24 18:16:19,2023-11-01 01:33:37,2,2023-10-25 16:19:12,,,2023-10-25 08:40:00,RMSE,MPCLogger: Target removed from MPC list,2023-11-01 01:33:37,3.038,-59.9923,10.2,2.22,19.9,10950.14,4957.78,ORANGE,600.0,1.0,0,0,0,0,-6292120407381068141,CLEAR,1
P11Hbrq,MPC NEO,MPCLogger,2023-07-24 01:19:06,2023-07-27 20:41:27,2,2023-07-23 13:12:00,2023-07-24 07:00:00,2023-07-24 13:30:00,2023-07-24 09:20:00,,MPCLogger: Target removed from MPC list,2023-07-27 20:41:27,21.5606,-17.7069,2.64,3.36,21.1,83.01,126.38,ORANGE,600.0,3.0,0,0,0,0,-6289074449476590466,CLEAR,1
C3UC4Q1,MPC NEO,MPCLogger,2023-09-25 23:00:15,2023-09-28 18:51:21,2,2023-09-25 17:45:36,2023-09-26 08:40:00,2023-09-26 16:10:00,2023-09-25 12:10:00,,MPCLogger: Target removed from MPC list,2023-09-28 18:51:21,4.6071,22.1354,-6,19.8,19.8,0.16,0.71,ORANGE,600.0,1.0,0,0,0,0,-6263877357150746271,,1
P11GLcv,MPC NEO,MPCLogger,2023-07-04 22:36:31,2023-07-19 00:04:56,2,2023-07-06 16:19:12,,,2023-07-07 11:10:00,vMag,MPCLogger: Target removed from MPC list,2023-07-19 00:04:56,22.3126,-31.9744,1.74,-0.72,21.8,11.47,5.97,GREEN,-1.0,-1.0,0,0,0,0,-6259984331989967919,CLEAR,1
P11Mxnd,MPC NEO,MPCLogger,2023-10-24 18:16:19,2023-11-01 01:33:37,2,2023-10-25 16:33:36,2023-10-25 06:40:00,2023-10-25 12:50:00,2023-10-25 08:50:00,vMag,MPCLogger: Target removed from MPC list,2023-11-01 01:33:37,3.2952,-14.7635,-0.24,-0.12,21.7,12.15,19.49,GREEN,-1.0,-1.0,0,0,0,0,-6255919070550453023,CLEAR,1
C9CWMP2,MPC NEO,MPCLogger,2023-06-26 07:22:47,2023-06-28 03:37:21,2,2023-06-27 16:19:12,2023-06-27 17:00:00,2023-06-27 21:00:00,2023-06-27 17:00:00,vMag,One-time duplicate removal,,3.4602,24.7106,4.38,1.08,24.6,35.16,8.3,GREEN,-1.0,-1.0,0,0,0,0,-6235785545012335608,CLEAR,1
ZTs0137,MPC NEO,MPCLogger,2023-07-27 20:41:27,2023-08-08 00:19:21,2,2023-07-28 21:50:24,2023-07-28 05:30:00,2023-07-28 11:50:00,2023-07-30 06:00:00,RMSE,MPCLogger: Target removed from MPC list,2023-08-08 00:19:21,18.6217,74.4322,-31.2,10.8,21.5,49805.32,31769.86,ORANGE,600.0,3.0,0,0,0,0,-6232579489020194387,CLEAR,1
A10WBr7,MPC NEO,MPCLogger,2023-09-06 03:51:41,2023-09-11 04:34:09,2,2023-09-10 15:50:24,2023-09-06 05:40:00,2023-09-06 13:10:00,2023-09-10 08:40:00,,MPCLogger: Target removed from MPC list,2023-09-11 04:34:09,0.1353,6.9138,-0.24,-0.12,18.0,19103.23,3528.29,GREEN,300.0,1.0,0,0,0,0,-6214123506329675165,CLEAR,1
ZTs0133,MPC NEO,MPCLogger,2023-07-21 23:56:41,2023-07-27 20:41:27,2,2023-07-23 16:19:12,2023-07-24 09:50:00,2023-07-24 09:00:00,2023-07-23 13:10:00,RMSE,MPCLogger: Target removed from MPC list,2023-07-27 20:41:27,1.3341,5.6365,17.4,-11.4,20.8,181461.3,92108.86,RED,600.0,2.0,0,0,0,0,-6202041951810174544,CLEAR,1
P11Gnx7,MPC NEO,MPCLogger,2023-06-20 01:28:58,2023-07-18 22:41:03,2,2023-06-20 05:02:24,2023-06-21 03:00:00,2023-06-21 08:50:00,2023-06-21 06:50:00,,MPCLogger: Target removed from MPC list,2023-07-18 22:41:03,16.9988,10.0392,1.98,-1.62,21.1,4.76,4.47,GREEN,600.0,3.0,0,0,0,0,-6201516228797893482,CLEAR,1
P11Mxna,MPC NEO,MPCLogger,2023-10-24 18:16:19,2023-11-01 01:33:37,2,2023-10-25 16:19:12,2023-10-25 07:10:00,2023-10-25 12:50:00,2023-10-25 09:30:00,vMag,MPCLogger: Target removed from MPC list,2023-11-01 01:33:37,3.8407,-15.2797,-0.12,0,23.9,13.39,7.95,ORANGE,-1.0,-1.0,0,0,0,0,-6183550329042146437,CLEAR,1
P11Gjiq,MPC NEO,MPCLogger,2023-06-21 02:34:55,2023-06-22 22:41:15,2,2023-06-21 12:00:00,2023-06-22 05:00:00,2023-06-22 10:40:00,2023-06-22 07:10:00,vMag,MPCLogger: Target removed from MPC list,2023-06-22 22:41:15,17.3294,3.096,-0.78,0.54,22.1,0.87,0.44,GREEN,-1.0,-1.0,0,0,0,0,-6183470358849817266,CLEAR,1
C3TPU61,MPC NEO,MPCLogger,2023-09-22 07:25:36,2023-09-23 18:59:11,2,2023-09-21 21:50:24,2023-09-23 03:20:00,2023-09-23 11:00:00,2023-09-23 06:50:00,dDec,MPCLogger: Target removed from MPC list,2023-09-23 18:59:11,23.0265,3.467,6,-6,19.9,6.44,6.19,GREEN,600.0,1.0,0,0,0,0,-6145596932544169054,CLEAR,1
C0JXWF5,MPC NEO,MPCLogger,2023-10-16 22:13:25,2023-10-25 19:43:05,2,2023-10-23 16:33:36,2023-10-24 22:30:00,2023-10-25 04:50:00,2023-10-25 00:50:00,vMag,MPCLogger: Target removed from MPC list,2023-10-25 19:43:05,19.2433,-12.7306,-15,-13.8,21.7,17018.01,15560.7,ORANGE,-1.0,-1.0,0,0,0,0,-6139576866912596642,CLEAR,1
P11JCp4,MPC NEO,MPCLogger,2023-09-16 05:30:29,2023-09-22 07:25:35,2,2023-09-20 17:45:36,2023-09-21 07:20:00,2023-09-21 13:00:00,2023-09-20 09:40:00,vMag,MPCLogger: Target removed from MPC list,2023-09-22 07:25:35,1.721,-30.1635,4.2,-4.38,22.4,1.09,1.37,ORANGE,-1.0,-1.0,0,0,0,0,-6134400048658465580,CLEAR,1
A10WVoJ,MPC NEO,MPCLogger,2023-09-23 18:59:11,2023-09-25 23:00:14,2,2023-09-24 01:12:00,2023-09-24 06:30:00,2023-09-24 13:10:00,2023-09-23 08:50:00,,MPCLogger: Target removed from MPC list,2023-09-25 23:00:14,1.0727,-20.0739,26.4,7.8,18.3,7.01,3.42,ORANGE,300.0,1.0,0,0,0,0,-6131947831901492667,CLEAR,1
C9HT642,MPC NEO,MPCLogger,2023-09-20 21:47:15,2023-09-28 18:51:21,2,2023-09-25 18:14:24,2023-09-26 08:00:00,2023-09-26 15:30:00,2023-09-25 11:10:00,vMag,MPCLogger: Target removed from MPC list,2023-09-28 18:51:21,3.6892,16.2405,11.4,0.54,23.1,221.25,12.41,BLACK,-1.0,-1.0,0,0,0,0,-6127098515143028633,CLEAR,1
P11H5bQ,MPC NEO,MPCLogger,2023-07-17 20:19:19,2023-07-18 22:37:28,2,2023-07-17 06:57:36,2023-07-18 07:00:00,2023-07-18 13:20:00,2023-07-18 09:10:00,vMag,MPCLogger: Target removed from MPC list,2023-07-18 22:37:28,21.0337,-3.1931,-0.18,0.9,21.6,2.75,10.69,GREEN,-1.0,-1.0,0,0,0,0,-6125824968626214168,CLEAR,1
P11Ge6q,MPC NEO,MPCLogger,2023-06-22 02:46:21,2023-07-18 22:41:03,2,2023-06-22 16:33:36,2023-06-24 09:10:00,2023-06-24 15:30:00,2023-06-24 11:20:00,vMag,MPCLogger: Target removed from MPC list,2023-07-18 22:41:03,21.688,-2.0461,-0.12,0.18,22.2,21.19,9.0,GREEN,-1.0,-1.0,0,0,0,0,-6113745125956795733,CLEAR,1
P11GZqY,MPC NEO,MPCLogger,2023-07-14 23:49:02,2023-07-17 20:19:19,2,2023-07-15 21:21:36,2023-07-16 08:10:00,2023-07-16 14:30:00,2023-07-16 10:30:00,,MPCLogger: Target removed from MPC list,2023-07-17 20:19:19,22.1997,-1.6468,1.68,-0.48,21.4,1.49,0.78,GREEN,600.0,3.0,0,0,0,0,-6102298021920904396,CLEAR,1
P11GAQm,MPC NEO,MPCLogger,2023-06-22 22:41:16,2023-07-18 22:41:03,2,2023-06-23 13:26:24,2023-06-24 08:20:00,2023-06-24 15:50:00,2023-06-24 11:40:00,vMag,MPCLogger: Target removed from MPC list,2023-07-18 22:41:03,21.9796,18.7377,-0.06,0.24,22.3,4.14,2.29,GREEN,-1.0,-1.0,0,0,0,0,-6100955094384135220,CLEAR,1
P11Juru,MPC NEO,MPCLogger,2023-09-16 05:30:29,2023-10-07 03:31:12,2,2023-10-04 16:33:36,2023-10-05 03:20:00,2023-10-05 09:40:00,2023-10-05 05:40:00,vMag,MPCLogger: Target removed from MPC list,2023-10-07 03:31:12,22.705,-1.4121,-1.26,1.26,21.6,3710.82,3183.16,GREEN,-1.0,-1.0,0,0,0,0,-6100093029681582790,CLEAR,1
P21Gd2q,MPC NEO,MPCLogger,2023-06-20 01:28:58,2023-07-18 22:44:19,2,2023-06-20 16:48:00,2023-06-21 01:50:00,2023-06-21 08:50:00,2023-06-21 05:50:00,vMag,MPCLogger: Target removed from MPC list,2023-07-18 22:44:19,15.8569,15.6919,-0.6,-1.14,22.2,274.95,501.22,GREEN,-1.0,-1.0,0,0,0,0,-6099975637925979360,CLEAR,1
N00mk7y,MPC NEO,MPCLogger,2023-06-17 01:27:39,2023-07-18 22:44:19,2,2023-06-16 16:19:12,,,,Observability,MPCLogger: Target removed from MPC list,2023-07-18 22:44:19,9.9577,-62.765,4.56,-0.06,19.7,15.878727908746344,4.383149552547803,GREEN,,,0,0,0,0,-6082601432942353265,CLEAR,1
ST23F05,MPC NEO,MPCLogger,2023-06-16 01:16:41,2023-06-16 17:37:47,2,2023-06-14 16:19:12,,,,vMag,MPCLogger: Target removed from MPC list,2023-06-16 17:37:47,7.7184,-70.7873,-1.74,-0.12,24.3,130599.11221828616,63128.84821137243,GREEN,,,0,0,0,0,-6068203880293513158,CLEAR,1
3FJ1H21,MPC NEO,MPCLogger,2023-06-21 00:30:44,2023-07-18 22:41:03,2,2023-06-21 02:24:00,2023-06-21 06:50:00,2023-06-21 11:50:00,2023-06-21 10:40:00,,MPCLogger: Target removed from MPC list,2023-07-18 22:41:03,20.7699,-22.4823,-7.2,-3.6,20.1,2.92,7.57,ORANGE,600.0,1.0,0,0,0,0,-6062202156879771826,CLEAR,1
C9F01X2,MPC NEO,MPCLogger,2023-09-10 16:57:36,2023-09-13 18:35:04,2,2023-09-11 00:00:00,2023-09-11 04:20:00,2023-09-11 11:50:00,2023-09-11 07:40:00,,MPCLogger: Target removed from MPC list,2023-09-13 18:35:04,23.1719,3.7099,1.74,5.04,20.9,0.9,0.65,GREEN,600.0,2.0,0,0,0,0,-6061813414343052080,CLEAR,1
