CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,Filter,Processed,Submitted,dRA,dDec,TransitTime
NGC 6401,Astrophotography,10.710000038146973,264.65387,-23.90875,9.0,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 08:40:00
NGC 6544,Astrophotography,9.899999618530273,271.83575,-24.99733,12.0,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 09:10:00
M9,Astrophotography,8.420000076293945,259.79908,-18.51625,8.7,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 08:20:00
NGC 6603,Astrophotography,11.100000381469727,274.616,-18.409,6.0,Open Cluster,"g, r, i",0,0,0,0,2024-06-03 09:20:00
M72,Astrophotography,8.960000038146973,313.36542,-12.53731,5.9,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 12:00:00
NGC 6822,Astrophotography,8.100000381469727,296.234163,-14.797581,13.8,Galaxy,"g, r, i",0,0,0,0,2024-06-03 10:50:00
M26,Astrophotography,8.869999885559082,281.317,-9.386,7.1,Open Cluster,"g, r, i",0,0,0,0,2024-06-03 09:50:00
NGC 6705,Astrophotography,5.800000190734863,282.766,-6.272,8.9,Open Cluster,"g, r, i",0,0,0,0,2024-06-03 09:50:00
M10,Astrophotography,4.980000019073486,254.28771,-4.10031,15.1,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 08:00:00
M14,Astrophotography,5.730000019073486,264.40063,-3.24592,13.5,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 08:40:00
M12,Astrophotography,6.070000171661377,251.80908,-1.94853,14.5,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 07:50:00
M5,Astrophotography,5.949999809265137,229.63842,2.08103,17.4,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 06:20:00
M92,Astrophotography,6.519999980926514,259.28079,43.13594,11.2,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 08:20:00
M29,Astrophotography,6.599999904632568,305.943,38.487,12.7,Open Cluster,"g, r, i",0,0,0,0,2024-06-03 11:30:00
NGC 1407,Astrophotography,9.670000076293945,55.0496,-18.580378,5.62,Galaxy towards a Group of Galaxies,"g, r, i",0,0,0,0,2024-06-02 18:40:00
